symbol,date,open,high,low,close,volume,return_5,return_10,return_20,return_60,vol_5,vol_10,vol_20,volume_ma_5,volume_ratio_5,volume_ma_10,volume_ratio_10,volume_ma_20,volume_ratio_20,rsi_14,macd,macd_signal,macd_hist,ma_5,ma_ratio_5,ma_10,ma_ratio_10,ma_20,ma_ratio_20,ma_60,ma_ratio_60,ma_200,ma_ratio_200,bb_middle,bb_upper,bb_lower,bb_width,bb_position
BTC,2020-01-01,7195.24,7255.0,7175.15,7200.85,16792.388165,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
BTC,2020-01-02,7200.77,7212.5,6924.74,6965.71,31951.483932,,,,,,,,,,,,,,,-18.757606837607455,-3.751521367521491,-15.006085470085964,,,,,,,,,,,,,,,
BTC,2020-01-03,6965.49,7405.0,6871.04,7344.96,68428.500451,,,,,,,,,,,,,,,-2.9864143959875946,-3.598499973214712,0.6120855772271172,,,,,,,,,,,,,,,
BTC,2020-01-04,7345.0,7404.0,7272.21,7354.11,29987.974977,,,,,,,,,,,,,,,10.133880700961527,-0.8520238383794644,10.985904539340991,,,,,,,,,,,,,,,
BTC,2020-01-05,7354.19,7495.0,7318.0,7358.75,38331.085604,,,,,,,,37098.2866258,1.03323061764644,,,,,,20.667970811666237,3.4519750916296763,17.21599572003656,7244.875999999999,1.0157178673589446,,,,,,,,,,,,,
BTC,2020-01-06,7357.64,7795.34,7346.76,7758.0,54635.695316,0.07737281015435671,,,,0.03795321406224182,,,44666.948055999994,1.223179502828399,,,,,,60.53464573245583,14.868509219794907,45.66613651266092,7356.306,1.0546053956972428,,,,,,,,,,,,,
BTC,2020-01-07,7758.9,8207.68,7723.71,8145.28,91171.684661,0.16933952174293787,,,,0.02850439965516162,,,56510.9882018,1.6133443700440544,,,,,,121.97349764210685,36.289506904257294,85.68399073784956,7592.219999999999,1.0728456235462092,,,,,,,,,,,,,
BTC,2020-01-08,8145.92,8455.0,7870.0,8055.98,112622.64264,0.09680379471093103,,,,0.03061623762920803,,,65349.816639599994,1.723381157457665,,,,,,161.59569218508568,61.350743960422975,100.2449482246627,7734.423999999999,1.0415746537815875,,,,,,,,,,,,,
BTC,2020-01-09,8054.72,8055.96,7750.0,7817.76,64239.51983,0.06304637814772973,,,,0.037431489668679936,,,72200.1256102,0.889742494034174,,,,,,171.793870904683,83.43936934927498,88.354501555408,7827.1539999999995,0.9987998191935409,,,,,,,,,,,,,
BTC,2020-01-10,7817.74,8199.0,7672.0,8197.02,82406.777448,0.11391472736538133,,,,0.03958543537924026,,,81015.263979,1.0171759419232491,59056.7753024,1.3953822745322004,,,,208.08049103081066,108.36759368558212,99.71289734522854,7994.808,1.0252929151019012,7619.842,1.0757467149581317,,,,,,,,,,,
BTC,2020-01-11,8198.86,8286.34,8003.16,8020.01,54810.032667,0.033772879608146456,0.11375879236479025,,,0.03886779990016149,0.036481072676033434,,81050.13144920001,0.6762485351594206,62858.5397526,0.8719584146040062,,,,220.01843567628566,130.69776208372284,89.32067359256283,8047.210000000001,0.9966199465404779,7701.757999999999,1.041321994277151,,,,,,,,,,,
BTC,2020-01-12,8020.01,8197.0,7960.0,8184.98,38131.494336,0.00487398837117925,0.17503886897387333,,,0.03251097531926547,0.033057875750016535,,70442.0933842,0.5413168817687751,63476.540793,0.6007179008123428,,,,240.0241936101902,152.56304838901633,87.46114522117387,8055.15,1.0161176390259647,7823.685,1.0461796455250945,,,,,,,,,,,
BTC,2020-01-13,8184.97,8196.0,8055.89,8110.34,31159.755683,0.0067477823927071245,0.10420478804513578,,,0.03234581243374667,0.031053758084825644,,54149.51599280001,0.5754392280651808,59749.666316200004,0.5215050995950351,,,,247.00871400159485,171.45218151153205,75.5565324900628,8066.022,1.0054944060405488,7900.223,1.02659633785021,,,,,,,,,,,
BTC,2020-01-14,8110.34,8880.0,8105.54,8810.01,120399.126742,0.12692254558850613,0.19797093054088122,,,0.04376493211441284,0.03891635301808901,,65381.4373752,1.8414879142389258,68790.7814927,1.7502218193985282,,,74.84974272495353,305.4801335219072,198.2577719136071,107.2223616083001,8264.472,1.0660100245968527,8045.812999999999,1.094980706113851,,,,,,,,,,,
BTC,2020-01-15,8814.64,8916.48,8564.0,8821.41,84816.297606,0.07617280426301254,0.19876473585867172,,,0.042478956321164725,0.03888233540396511,,65863.3414068,1.2877618382908709,73439.30269289999,1.1549169790006724,,,74.93798435297522,348.7192213680564,228.35006180449696,120.36915956355946,8389.35,1.0515010102093725,8192.079,1.0768218909998304,,,,,,,,,,,
BTC,2020-01-16,8820.01,8859.81,8586.0,8720.01,51991.074284,0.08728168668118874,0.12400232018561486,,,0.04046755878318364,0.03779419275834091,,65299.54973019999,0.7961934576702749,73174.8405897,0.7105047836799552,,,78.15493156664871,370.5331024854895,256.7866699406955,113.746432544794,8529.35,1.0223534032487822,8288.279999999999,1.0520892151326935,,,,,,,,,,,
BTC,2020-01-17,8720.15,9041.65,8672.44,8913.28,70897.737377,0.08898005859513414,0.09428773473717311,,,0.04050401807032799,0.035691836881897275,,71852.7983384,0.986708089545768,71147.4458613,0.9964902677632757,,,76.7680732967851,398.8187004836436,285.19307604928514,113.62562443435849,8675.01,1.0274662507593653,8365.08,1.0655343403769002,,,,,,,,,,,
BTC,2020-01-18,8913.27,8988.88,8806.38,8915.96,38294.746545,0.0993324570856462,0.10675051328329999,,,0.03913347655616533,0.035144068707917794,,73279.79651079999,0.522582599412051,63714.65625179999,0.6010351275169619,,,76.71664973195257,416.6486282544638,311.4841864903209,105.16444176414291,8836.134,1.009034041357906,8451.078,1.0550086036361277,,,,,,,,,,,
BTC,2020-01-19,8915.09,9198.98,8466.0,8701.7,70676.889259,-0.01229397015440381,0.11306819344671615,,,0.017138657273331165,0.03447550160558966,,63335.3490142,1.1159153673117679,64358.393194699995,1.0981767218020033,,,71.43500148438527,408.77784655633786,330.9429185035243,77.83492805281355,8814.472,0.9872060402483553,8539.472,1.01899742747561,,,,,,,,,,,
BTC,2020-01-20,8701.72,8746.99,8521.28,8642.35,38896.639746,-0.020298342328493924,0.05432828027746672,,,0.01709105242025196,0.03220249724446507,,54151.41744220001,0.7182940278067032,60007.3794245,0.648197607011633,59532.07736345,0.6533727944437695,65.83318711932141,393.21836976656505,343.39800875613247,49.82036101043258,8778.66,0.9844725732628898,8584.005000000001,1.0067969438508015,8101.9235,1.0667034809696736,,,,,8101.9235,9348.984138331087,6854.862861668914,0.30784310375951746,0.7166801209936514
BTC,2020-01-21,8642.35,8789.0,8488.0,8736.03,36494.687659,0.0018371538564749823,0.0892791904249497,0.2131942756757883,,0.01754734886931522,0.030742215554451037,0.032857738510903386,51052.1401172,0.7148512790104281,58175.844923699995,0.6273168478578056,60517.19233815001,0.603046609549891,61.819207637919135,384.019823908292,351.5223717865644,32.49745212172758,8781.864,0.994780834683844,8655.607,1.009291433864777,8178.6825,1.0681463670951894,,,,,8178.6825,9380.376903641003,6976.988096358998,0.2938601427897471,0.7319006805354582
BTC,2020-01-22,8736.04,8818.0,8590.0,8682.36,29080.557138,-0.02590741006677677,0.06076740566256733,0.2464429325940931,,0.012704808352787877,0.030785472474209204,0.03154606119551966,42688.7040694,0.6812237047703081,57270.75120390001,0.5077732791467153,60373.645998449996,0.4816763449858006,62.71331612190888,368.1553241742231,354.84896226409614,13.306361910126952,8735.68,0.9938962965676399,8705.345,0.9973596681119474,8264.515000000001,1.050558925720384,,,,,8264.515000000001,9340.019700706653,7189.01029929335,0.26027049396284024,0.6942553108905325
BTC,2020-01-23,8682.77,8691.81,8306.39,8404.52,48165.944597,-0.057362303105890855,0.0362722154681554,0.1442567420380778,,0.01678438160915837,0.03284257582177087,0.03127838669878584,44662.9436798,1.0784319310055759,58971.3700953,0.8167682812721153,59360.51820575,0.8114138159989037,61.72066637369663,329.3664959019552,349.75246899166797,-20.385973089712763,8633.392000000002,0.9734899098755158,8734.763,0.9621921052694846,8317.493,1.010463128733622,,,,,8317.493,9302.887481330086,7332.0985186699145,0.2369450701864338,0.5441584571706404
BTC,2020-01-24,8404.52,8528.02,8238.0,8439.0,41687.529529,-0.03018950320052416,-0.04211232450360447,0.14752158996805864,,0.016296899904083537,0.01588365725695215,0.0312562160214809,38865.0717338,1.072621962839332,51100.210374,0.8157995676317369,59945.49593334999,0.6954238826441608,55.60574891582341,297.97346525101057,339.3966682435365,-41.423202992525944,8580.852,0.9834687744293923,8697.662,0.9702607436343238,8371.7375,1.008034473130578,,,,,8371.7375,9247.140406212482,7496.334593787516,0.20913290848225552,0.5384180241593091
BTC,2020-01-25,8438.99,8451.26,8254.9,8340.58,25521.157932,-0.034917586073232476,-0.05450715928632721,0.13342347545439104,,0.016500108945863373,0.015916025150658417,0.03151523556320226,36189.975371,0.705199649084337,45170.6964066,0.5649936786954438,59304.99954974999,0.4303373767095423,57.707010044573096,262.1309088692069,323.9435163686706,-61.812607499463695,8520.498000000001,0.9788840980891022,8649.579000000002,0.9642758335405687,8420.829,0.9904701781736691,,,,,8420.829,9155.918867213526,7685.739132786474,0.17458847987853116,0.445415517490265
BTC,2020-01-26,8340.01,8618.13,8293.66,8615.0,31130.485164,-0.013854119090708328,-0.012042417382548853,0.11046661510698641,,0.023792696121680314,0.019774502813042494,0.030153119187848607,35117.134871999995,0.8864756557580478,43084.6374946,0.7225425807029647,58129.73904215001,0.5355345762248686,59.8214856704337,252.95294123253007,309.7454013414425,-56.79246010891245,8496.292000000001,1.0139717420258154,8639.078,0.997212897024428,8463.679,1.0178788680430815,,,,,8463.679,9133.059535338849,7794.298464661151,0.1581772029253115,0.6130306245933782
