Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA20,MA50,MA200,RSI,MACD,MACD_signal,MACD_hist,BB_middle,BB_upper,BB_lower,Price_vs_MA200,Volatility
2025-06-08 00:00:00+00:00,105617.5078125,106497.0625,105075.328125,105793.6484375,36626232328,0.0,0.0,,,,,0.0,0.0,0.0,,,,,
2025-06-09 00:00:00+00:00,105793.0234375,110561.421875,105400.234375,110294.1015625,55903193732,0.0,0.0,,,,,359.0105056980101,71.80210113960202,287.20840455840806,,,,,
2025-06-10 00:00:00+00:00,110295.6875,110380.125,108367.7109375,110257.234375,54700101509,0.0,0.0,,,,,633.2542828893347,184.09253748954856,449.1617453997861,,,,,
2025-06-11 00:00:00+00:00,110261.796875,110384.21875,108086.328125,108686.625,50842662052,0.0,0.0,,,,,715.6102917100216,290.3960883336432,425.21420337637835,,,,,
2025-06-12 00:00:00+00:00,108685.9140625,108780.6953125,105785.6875,105929.0546875,54843867968,0.0,0.0,,,,,552.0020082594419,342.71727231880294,209.284735940639,,,,,
2025-06-13 00:00:00+00:00,105924.59375,106182.546875,102822.0234375,106090.96875,69550440846,0.0,0.0,,,,,430.44448053310043,360.2627139616625,70.18176657143795,,,,,
2025-06-14 00:00:00+00:00,106108.0859375,106203.7578125,104379.3671875,105472.40625,38007870453,0.0,0.0,,,,,280.9577339608077,344.40171796149156,-63.44398400068388,,,,,
2025-06-15 00:00:00+00:00,105464.84375,106157.1015625,104519.8828125,105552.0234375,36744307742,0.0,0.0,,,,,166.98791916530172,308.9189582022536,-141.93103903695186,,,,,
2025-06-16 00:00:00+00:00,105555.59375,108915.375,104997.625,106796.7578125,50366626945,0.0,0.0,,,,,175.08738285354048,282.15264313251095,-107.06526027897047,,,,,
2025-06-17 00:00:00+00:00,106794.1171875,107750.1953125,103396.53125,104601.1171875,55964092176,0.0,0.0,,,,,4.286999613803346,226.57951442876944,-222.2925148149661,,,,,
2025-06-18 00:00:00+00:00,104602.0703125,105581.8515625,103602.265625,104883.328125,47318089133,0.0,0.0,,,,,-107.06726574056665,159.85015839490222,-266.9174241354689,,,,,
2025-06-19 00:00:00+00:00,104886.7734375,105250.890625,103940.7734375,104684.2890625,37333806920,0.0,0.0,,,,,-208.9682562234375,86.08647547123428,-295.0547316946718,,,,,
2025-06-20 00:00:00+00:00,104681.03125,106539.3828125,102372.2109375,103309.6015625,50951862476,0.0,0.0,,,,,-396.0854908613255,-10.347917795277683,-385.73757306604784,,,,,
2025-06-21 00:00:00+00:00,103315.078125,104015.78125,100973.0625,102257.40625,38360555118,0.0,0.0,,,,39.000187121655806,-622.109326507969,-132.70019953781593,-489.409126970153,,,,,
2025-06-22 00:00:00+00:00,102212.03125,103351.6328125,98286.203125,100987.140625,65536997201,0.0,0.0,,,,36.14389397854762,-893.4356940201978,-284.8472984342923,-608.5883955859056,,,,,
2025-06-23 00:00:00+00:00,100987.4765625,106116.859375,99705.75,105577.7734375,65237759656,0.0,0.0,,,,36.47418783288568,-729.6274021107529,-373.8033191695844,-355.82408294116846,,,,,
2025-06-24 00:00:00+00:00,105571.515625,106316.828125,104740.2421875,106045.6328125,48822986421,0.0,0.0,,,,38.21305769793365,-555.6506146932516,-410.17277827431786,-145.4778364189337,,,,,
2025-06-25 00:00:00+00:00,106047.40625,108168.3984375,105881.390625,107361.2578125,51624120283,0.0,0.0,,,,46.237008967012414,-308.0616716773511,-389.75055695492455,81.68888527757343,,,,,
2025-06-26 00:00:00+00:00,107375.0703125,108305.546875,106666.3515625,106960.0,43891990613,0.0,0.0,,,,53.37920855008059,-142.5802264748345,-340.31649085890655,197.73626438407206,,,,,
2025-06-27 00:00:00+00:00,106954.921875,107772.46875,106449.9921875,107088.4296875,45353692675,0.0,0.0,105931.43984375,,,53.27664676682799,-1.0595723819715204,-272.4651071635196,271.40553478154806,105931.43984375,110526.76108887373,101336.11859862629,,
2025-06-28 00:00:00+00:00,107090.546875,107567.8828125,106883.9765625,107327.703125,30037708335,0.0,0.0,106008.142578125,,,56.25038163759905,128.91784760396695,-192.18851621002227,321.1063638139892,106008.142578125,110644.80519102086,101371.47996522914,,33.78519920952062
2025-06-29 00:00:00+00:00,107327.8203125,108526.3046875,107230.109375,108385.5703125,35534874438,0.0,0.0,105912.716015625,,,58.9557435242014,313.6711249706859,-91.01658797388065,404.68771294456656,105912.716015625,110246.64906643995,101578.78296481006,,28.514567235880023
2025-06-30 00:00:00+00:00,108383.4375,108798.7890625,106759.6484375,107135.3359375,42064804590,0.0,0.0,105756.62109375,,,51.06974232188733,355.112447694235,-1.7907808402575098,356.90322853449254,105756.62109375,109632.36976107283,101880.87242642717,,28.880986234713262
2025-07-01 00:00:00+00:00,107144.3828125,107550.6796875,105270.2265625,105698.28125,44110692247,0.0,0.0,105607.20390625,,,53.64103936212522,268.8970138144505,52.34677809068409,216.55023572376638,105607.20390625,109229.4670097322,101984.9408027678,,28.811644363233757
2025-07-02 00:00:00+00:00,105703.1015625,109763.65625,105157.3984375,108859.3203125,56248657737,0.0,0.0,105753.7171875,,,61.07798847114456,450.4476160304039,131.96694567862806,318.4806703517758,105753.7171875,109656.94399885781,101850.4903761422,,29.601166367808563
2025-07-03 00:00:00+00:00,108845.015625,110541.4609375,108605.796875,109647.9765625,50494742270,0.0,0.0,105931.567578125,,,63.38998267642856,650.4675594642176,235.667068435746,414.80049102847164,105931.567578125,110205.9959499721,101657.1392062779,,29.703598494016507
