date,close,rsi_14,macd,macd_signal,score,signal
2020-01-01,7200.85,,0.0,0.0,0.0,0
2020-01-02,6965.71,,-18.757606837607455,-3.751521367521491,0.0,0
2020-01-03,7344.96,,-2.9864143959875946,-3.598499973214712,0.0,0
2020-01-04,7354.11,,10.133880700961528,-0.8520238383794644,0.0,0
2020-01-05,7358.75,,20.667970811666237,3.4519750916296763,0.103411840957983,0
2020-01-06,7758.0,,60.53464573245583,14.868509219794907,0.103411840957983,0
2020-01-07,8145.28,,121.97349764210684,36.289506904257294,0.103411840957983,0
2020-01-08,8055.98,,161.59569218508568,61.350743960422975,0.103411840957983,0
2020-01-09,7817.76,,171.793870904683,83.43936934927498,0.103411840957983,0
2020-01-10,8197.02,,208.08049103081063,108.36759368558212,0.20611035713861892,0
2020-01-11,8020.01,,220.0184356762857,130.69776208372284,0.20611035713861892,0
2020-01-12,8184.98,,240.0241936101902,152.56304838901633,0.20611035713861892,0
2020-01-13,8110.34,,247.00871400159485,171.45218151153205,0.20611035713861892,0
2020-01-14,8810.01,74.84974272495353,305.4801335219072,198.2577719136071,0.2863809570612018,0
2020-01-15,8821.41,74.93798435297522,348.7192213680564,228.35006180449696,0.2863809570612018,0
2020-01-16,8720.01,78.15493156664871,370.5331024854895,256.7866699406955,0.2863809570612018,0
2020-01-17,8913.28,76.7680732967851,398.8187004836436,285.19307604928514,0.2863809570612018,0
2020-01-18,8915.96,76.71664973195257,416.6486282544638,311.4841864903209,0.2863809570612018,0
2020-01-19,8701.7,71.43500148438527,408.77784655633786,330.9429185035243,0.2863809570612018,0
2020-01-20,8642.35,65.83318711932141,393.21836976656505,343.39800875613247,0.7969238271140365,0
2020-01-21,8736.03,61.819207637919135,384.019823908292,351.5223717865644,0.8640496263638868,0
2020-01-22,8682.36,62.71331612190888,368.1553241742231,354.84896226409614,0.8640496263638868,0
2020-01-23,8404.52,61.72066637369663,329.3664959019552,349.75246899166797,0.8640496263638868,0
2020-01-24,8439.0,55.60574891582341,297.97346525101057,339.3966682435365,0.8640496263638868,0
2020-01-25,8340.58,57.707010044573096,262.1309088692069,323.9435163686706,0.6751357255497441,0
