symbol,date,open,high,low,close,volume
BTC,2020-01-01,7195.24,7255.0,7175.15,7200.85,16792.388165
BTC,2020-01-02,7200.77,7212.5,6924.74,6965.71,31951.483932
BTC,2020-01-03,6965.49,7405.0,6871.04,7344.96,68428.500451
BTC,2020-01-04,7345.0,7404.0,7272.21,7354.11,29987.974977
BTC,2020-01-05,7354.19,7495.0,7318.0,7358.75,38331.085604
BTC,2020-01-06,7357.64,7795.34,7346.76,7758.0,54635.695316
BTC,2020-01-07,7758.9,8207.68,7723.71,8145.28,91171.684661
BTC,2020-01-08,8145.92,8455.0,7870.0,8055.98,112622.64264
BTC,2020-01-09,8054.72,8055.96,7750.0,7817.76,64239.51983
BTC,2020-01-10,7817.74,8199.0,7672.0,8197.02,82406.777448
BTC,2020-01-11,8198.86,8286.34,8003.16,8020.01,54810.032667
BTC,2020-01-12,8020.01,8197.0,7960.0,8184.98,38131.494336
BTC,2020-01-13,8184.97,8196.0,8055.89,8110.34,31159.755683
BTC,2020-01-14,8110.34,8880.0,8105.54,8810.01,120399.126742
BTC,2020-01-15,8814.64,8916.48,8564.0,8821.41,84816.297606
BTC,2020-01-16,8820.01,8859.81,8586.0,8720.01,51991.074284
BTC,2020-01-17,8720.15,9041.65,8672.44,8913.28,70897.737377
BTC,2020-01-18,8913.27,8988.88,8806.38,8915.96,38294.746545
BTC,2020-01-19,8915.09,9198.98,8466.0,8701.7,70676.889259
BTC,2020-01-20,8701.72,8746.99,8521.28,8642.35,38896.639746
BTC,2020-01-21,8642.35,8789.0,8488.0,8736.03,36494.687659
BTC,2020-01-22,8736.04,8818.0,8590.0,8682.36,29080.557138
BTC,2020-01-23,8682.77,8691.81,8306.39,8404.52,48165.944597
BTC,2020-01-24,8404.52,8528.02,8238.0,8439.0,41687.529529
BTC,2020-01-25,8438.99,8451.26,8254.9,8340.58,25521.157932
BTC,2020-01-26,8340.01,8618.13,8293.66,8615.0,31130.485164
BTC,2020-01-27,8614.39,9000.0,8535.0,8907.57,53973.542996
BTC,2020-01-28,8907.57,9400.0,8862.4,9374.21,74584.853765
BTC,2020-01-29,9375.34,9449.24,9216.0,9301.53,53864.065122
BTC,2020-01-30,9301.57,9578.0,9204.44,9513.21,60626.744259
BTC,2020-01-31,9511.52,9530.22,9210.01,9352.89,45552.022352
BTC,2020-02-01,9351.71,9464.53,9281.0,9384.61,28578.067354
BTC,2020-02-02,9384.41,9477.03,9120.0,9331.51,45690.91254
BTC,2020-02-03,9331.59,9618.79,9234.0,9292.24,50892.133451
BTC,2020-02-04,9291.35,9350.0,9093.01,9197.02,53308.175266
BTC,2020-02-05,9197.02,9744.45,9177.22,9612.04,64870.415615
BTC,2020-02-06,9612.03,9862.57,9526.35,9772.0,64949.706588
BTC,2020-02-07,9772.0,9885.0,9730.0,9813.73,43966.114632
BTC,2020-02-08,9813.87,9940.0,9667.11,9895.05,43600.843666
BTC,2020-02-09,9895.04,10166.0,9880.75,10151.75,43408.475616
BTC,2020-02-10,10151.72,10188.0,9756.0,9851.83,59573.084619
BTC,2020-02-11,9851.74,10323.59,9700.0,10223.08,62422.395224
BTC,2020-02-12,10223.08,10450.0,10223.08,10326.46,61008.06393
BTC,2020-02-13,10325.33,10500.0,10080.0,10229.63,79344.358759
BTC,2020-02-14,10227.78,10381.56,10111.37,10344.36,47038.480173
BTC,2020-02-15,10344.36,10375.0,9801.0,9904.72,57657.202947
BTC,2020-02-16,9904.46,10050.0,9638.12,9917.27,60023.999537
BTC,2020-02-17,9910.7,9964.16,9452.67,9706.0,70261.011901
BTC,2020-02-18,9706.0,10250.0,9576.01,10164.71,70604.124019
BTC,2020-02-19,10164.78,10250.0,9350.0,9593.79,55162.586895
BTC,2020-02-20,9594.65,9699.0,9400.0,9596.42,60152.342914
BTC,2020-02-21,9597.21,9755.51,9550.21,9677.05,42181.554524
BTC,2020-02-22,9677.05,9709.17,9560.02,9650.86,24636.757623
BTC,2020-02-23,9650.85,9990.0,9645.0,9936.4,37702.089843
BTC,2020-02-24,9936.4,9990.0,9473.56,9656.13,55796.59612
BTC,2020-02-25,9655.52,9675.0,9250.0,9315.84,54379.344552
BTC,2020-02-26,9316.48,9377.44,8633.63,8785.25,92130.345482
BTC,2020-02-27,8786.0,8971.77,8531.0,8823.21,72483.578762
BTC,2020-02-28,8823.25,8900.0,8445.0,8692.91,71155.208977
BTC,2020-02-29,8690.8,8790.0,8523.55,8523.61,36748.183035
BTC,2020-03-01,8523.61,8750.0,8411.0,8531.88,43892.201779
BTC,2020-03-02,8530.3,8965.75,8498.0,8915.24,60401.31773
BTC,2020-03-03,8911.18,8919.65,8651.0,8760.07,55154.997282
BTC,2020-03-04,8760.07,8848.29,8660.0,8750.87,38696.482578
BTC,2020-03-05,8750.99,9159.42,8746.54,9054.68,58201.866355
BTC,2020-03-06,9054.64,9170.0,8985.5,9131.88,43782.948044
BTC,2020-03-07,9130.89,9188.0,8835.0,8886.66,45422.204525
BTC,2020-03-08,8885.25,8886.76,8000.0,8033.31,77537.315166
BTC,2020-03-09,8034.76,8179.31,7632.01,7929.87,116968.863268
BTC,2020-03-10,7929.87,8149.0,7728.01,7894.56,86783.443875
BTC,2020-03-11,7894.57,7980.0,7590.0,7934.52,79942.411172
BTC,2020-03-12,7934.58,7966.17,4410.0,4800.0,261505.608653
BTC,2020-03-13,4800.01,5955.0,3782.13,5578.6,402201.673764
BTC,2020-03-14,5576.05,5640.52,5055.13,5172.06,136910.135974
BTC,2020-03-15,5172.48,5940.0,5093.1,5361.3,139916.146534
BTC,2020-03-16,5360.33,5365.42,4442.12,5028.97,227276.92276
BTC,2020-03-17,5028.86,5525.0,4921.45,5312.64,150089.926318
BTC,2020-03-18,5312.64,5436.17,5009.37,5393.04,137127.634894
BTC,2020-03-19,5393.26,6400.0,5252.53,6162.37,199020.873439
BTC,2020-03-20,6162.05,6900.0,5670.0,6208.36,219298.329514
BTC,2020-03-21,6204.57,6456.98,5860.02,6186.98,128913.668363
BTC,2020-03-22,6187.04,6407.87,5734.01,5816.19,119115.990527
BTC,2020-03-23,5816.05,6600.0,5688.0,6467.31,164674.215785
BTC,2020-03-24,6465.25,6833.0,6371.33,6744.72,151138.009878
BTC,2020-03-25,6744.69,6957.96,6450.0,6677.43,132155.734989
BTC,2020-03-26,6677.42,6780.0,6510.0,6737.36,83026.555211
BTC,2020-03-27,6737.27,6842.59,6261.0,6359.11,82914.968354
BTC,2020-03-28,6359.11,6360.0,6024.0,6236.65,93159.693429
BTC,2020-03-29,6236.65,6266.0,5866.56,5881.42,63311.627714
BTC,2020-03-30,5880.5,6599.0,5857.76,6394.38,118889.549992
BTC,2020-03-31,6394.45,6523.23,6321.4,6410.44,72337.595259
BTC,2020-04-01,6412.14,6679.94,6150.11,6642.92,97500.7524
BTC,2020-04-02,6643.36,7198.0,6551.0,6794.09,149299.906871
BTC,2020-04-03,6793.86,7048.0,6602.1,6734.1,104080.276939
BTC,2020-04-04,6732.97,6990.41,6650.01,6856.99,72990.861139
BTC,2020-04-05,6857.41,6895.54,6677.52,6772.78,49685.356983
BTC,2020-04-06,6772.78,7355.14,6765.0,7329.9,118052.000832
BTC,2020-04-07,7329.9,7459.69,7077.0,7197.32,103585.168918
BTC,2020-04-08,7197.32,7420.0,7150.0,7361.28,76059.145838
BTC,2020-04-09,7360.26,7371.92,7108.08,7283.54,61094.872417
BTC,2020-04-10,7283.54,7295.75,6739.98,6858.92,104674.623375
BTC,2020-04-11,6858.92,6944.3,6760.0,6876.83,45470.293206
BTC,2020-04-12,6876.84,7177.0,6780.0,6903.79,73868.666501
BTC,2020-04-13,6903.79,6903.79,6575.0,6837.91,96415.476573
BTC,2020-04-14,6838.04,6978.0,6754.28,6868.7,69068.623285
BTC,2020-04-15,6868.57,6933.0,6605.0,6621.24,61571.384994
BTC,2020-04-16,6621.25,7190.0,6468.27,7101.94,125009.857539
BTC,2020-04-17,7101.99,7148.12,6972.98,7027.55,54126.509763
BTC,2020-04-18,7026.78,7293.08,7014.4,7248.6,49488.542819
BTC,2020-04-19,7248.6,7266.15,7055.6,7120.74,45664.86393
BTC,2020-04-20,7121.4,7220.0,6751.0,6826.83,90149.49137
BTC,2020-04-21,6828.98,6940.0,6762.0,6841.37,60109.710808
BTC,2020-04-22,6841.36,7156.38,6818.0,7125.14,61486.377334
BTC,2020-04-23,7125.12,7738.0,7020.0,7482.39,102773.569561
BTC,2020-04-24,7483.96,7615.96,7388.0,7505.0,60182.119939
BTC,2020-04-25,7505.0,7705.0,7431.07,7538.67,43874.427726
BTC,2020-04-26,7539.03,7700.0,7480.0,7693.1,50522.616209
BTC,2020-04-27,7693.1,7792.02,7606.0,7774.62,65441.339576
BTC,2020-04-28,7773.51,7780.0,7659.12,7738.98,46302.752638
BTC,2020-04-29,7738.58,8952.89,7710.05,8778.57,183546.887514
BTC,2020-04-30,8778.58,9460.0,8401.0,8620.0,206277.214124
BTC,2020-05-01,8620.0,9059.18,8613.56,8826.96,91468.815059
BTC,2020-05-02,8825.67,9010.0,8753.0,8972.05,59002.08755
BTC,2020-05-03,8972.58,9200.0,8712.0,8894.16,90126.065643
BTC,2020-05-04,8894.15,8950.0,8522.0,8871.96,84418.512331
BTC,2020-05-05,8871.92,9118.58,8760.0,9021.83,76480.765342
BTC,2020-05-06,9021.36,9395.0,8906.21,9142.92,105925.30242
