initial,final,return,trades,start_date,end_date,period_return
10000,10000.0,0.0,[],2026-03-02,2026-03-22,0.0
10000,10000.0,0.0,[],2026-03-22,2026-04-11,0.0
10000,10000.0,0.0,[],2026-04-11,2026-05-01,0.0
10000,10000.0,0.0,[],2026-05-01,2026-05-21,0.0
